Jugador,Edad,Convocados,Partidos_Jugados,Partidos_Titular,Minutos,Goles,Amarillas,Rojas,Equipo,Posicion,Pct_Titularidad,Minutos_por_Partido,Partidos_90,Goles_p90,Amarillas_p90,Rojas_p90,Tarjetas_p90,Pct_Participacion,Pct_Titularidad_Real,Minutos_por_Convocatoria,Tarjetas_Totales,Disciplina,Impacto_Ofensivo,Confianza_CT,Jugador_Problema,Posicion_Limpia,Peso_Equipo,Rank_Impacto_Ofensivo,Rank_Confianza_CT,Rank_Pct_Titularidad_Real,Rank_Disciplina,Rank_Peso_Equipo
José Butrón García,28.0,11,11,7,602,1.0,3,0,Catral Castrum Cf,Interior Derecho,0.6363636363636364,54.72727272727273,6.688888888888889,0.14950166112956811,0.4485049833887043,0.0,0.4485049833887043,1.0,0.6363636363636364,54.72727272727273,3,0.0049833887043189366,0.9568491197305546,54.72727272727273,False,Interior Derecho,0.8545454545454545,109.0,191.0,28.0,132.0,36.0
Noureddine Belbachir Leal,22.0,15,15,5,633,3.0,4,0,Catral Castrum Cf,Centrocampista,0.3333333333333333,42.2,7.033333333333333,0.4265402843601896,0.5687203791469194,0.0,0.5687203791469194,1.0,0.3333333333333333,42.2,4,0.00631911532385466,2.751385488118369,42.2,False,Centrocampista,0.7333333333333333,38.0,239.0,50.0,89.0,65.0
Sergio Fernández Tomás,24.0,11,11,9,750,1.0,2,0,Catral Castrum Cf,Centrocampista,0.8181818181818182,68.18181818181819,8.333333333333334,0.12,0.24,0.0,0.24,1.0,0.8181818181818182,68.18181818181819,2,0.0026666666666666666,0.7944087847836427,68.18181818181819,False,Centrocampista,0.9272727272727272,119.0,128.0,15.0,203.0,14.0
Jesús García Aráez,,4,4,1,107,0.0,1,1,Catral Castrum Cf,Delantero,0.25,26.75,1.1888888888888889,0.0,0.8411214953271028,0.8411214953271028,2.5233644859813085,1.0,0.25,26.75,3,0.028037383177570093,0.0,26.75,True,Delantero,0.7,151.0,288.0,55.0,6.0,74.0
Álvaro Castellano Sánchez,,14,14,11,1003,1.0,1,0,Catral Castrum Cf,Sin especificar,0.7857142857142857,71.64285714285714,11.144444444444444,0.0897308075772682,0.0897308075772682,0.0,0.0897308075772682,1.0,0.7857142857142857,71.64285714285714,1,0.0009970089730807576,0.6201072491690671,71.64285714285714,False,Sin especificar,0.9142857142857143,133.0,107.0,18.0,265.0,18.0
Ben David Naylor,,4,4,2,239,0.0,1,0,Catral Castrum Cf,Sin especificar,0.5,59.75,2.6555555555555554,0.0,0.3765690376569038,0.0,0.3765690376569038,1.0,0.5,59.75,1,0.0041841004184100415,0.0,59.75,False,Sin especificar,0.8,151.0,168.0,37.0,157.0,50.0
Gomez Andreu,,3,3,2,135,0.0,0,0,Catral Castrum Cf,Sin especificar,0.6666666666666666,45.0,1.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,45.0,0,0.0,0.0,45.0,False,Sin especificar,0.8666666666666667,151.0,229.0,26.0,280.0,31.0
Javier Garcia Franco,,8,8,3,323,0.0,4,0,Catral Castrum Cf,Sin especificar,0.375,40.375,3.588888888888889,0.0,1.1145510835913313,0.0,1.1145510835913313,1.0,0.375,40.375,4,0.01238390092879257,0.0,40.375,True,Sin especificar,0.75,151.0,246.0,47.0,27.0,61.0
Jesús Cámara García,,4,4,0,71,0.0,0,0,Catral Castrum Cf,Sin especificar,0.0,17.75,0.7888888888888889,0.0,0.0,0.0,0.0,1.0,0.0,17.75,0,0.0,0.0,17.75,False,Sin especificar,0.6,151.0,308.0,68.0,280.0,96.0
Mario Clemente Andreu,,3,3,0,119,1.0,0,0,Catral Castrum Cf,Sin especificar,0.0,39.666666666666664,1.3222222222222222,0.7563025210084033,0.0,0.0,0.0,1.0,0.0,39.666666666666664,0,0.0,3.6144631460507366,39.666666666666664,False,Sin especificar,0.6,24.0,250.0,68.0,280.0,96.0
